Player_ID,Nationality,Year,Game,Total_Year,Total_Overall
KniFeR,Netherlands ,2013,Call of Duty,933.59,1231.71
Luke,United Kingdom,2013,Call of Duty,896.4,896.4
Gotaga,France,2013,Call of Duty,765.2,14886.5
Zayrox,France,2013,Call of Duty,593.29,11358.46
Yako,France,2013,Call of Duty,593.29,593.29
Diablo,France,2013,Call of Duty,540.56,818.29
Kivi,Austria ,2013,Call of Duty,485.84,593.49
GunElite,Germany ,2013,Call of Duty,485.84,512.08
RocKz,Germany ,2013,Call of Duty,485.84,485.84
Rron,Germany ,2013,Call of Duty,485.84,485.84
Melo,France,2013,Call of Duty,457.96,3139.82
cy0x,Germany ,2013,Call of Duty,408.27,408.27
Para,Germany ,2013,Call of Duty,408.27,408.27
Storm,Germany ,2013,Call of Duty,408.27,408.27
TraX,Germany ,2013,Call of Duty,408.27,408.27
Xylon,Germany ,2013,Call of Duty,408.27,408.27
Robz,United Kingdom,2013,Call of Duty,393.24,1278.45
Moose,United Kingdom,2013,Call of Duty,390.29,41368.95
ReaLiZe,United Kingdom,2013,Call of Duty,390.29,4198.67
Legend,United Kingdom,2013,Call of Duty,390.29,455.78
AmaZe,Greece ,2013,Call of Duty,390.29,390.29
FEARS,Greece ,2013,Call of Duty,390.29,390.29
MaYoKoO,Greece ,2013,Call of Duty,390.29,390.29
Karma,Canada ,2014,Call of Duty,122006.76,421347.25
Crimsix,United States ,2014,Call of Duty,124686.76,404601.14
Aches,United States ,2014,Call of Duty,124686.76,265931.76
Teepee,United States ,2014,Call of Duty,124686.76,209462.03
Nameless,United States ,2014,Call of Duty,70664.95,109763.41
MerK,United States ,2014,Call of Duty,69036.2,238496.55
Studyy,United States ,2014,Call of Duty,58786.2,84298.7
Rambo,Canada ,2014,Call of Duty,51125,122718.53
Clayster,United States ,2014,Call of Duty,41097.5,287523.25
Apathy,United States ,2014,Call of Duty,36162.5,289572.5
Scump,United States ,2014,Call of Duty,35542.5,306293.68
NaDeSHoT,United States ,2014,Call of Duty,35542.5,206096.25
Censor,United States ,2014,Call of Duty,34737.8,53987.3
Mboze,United States ,2014,Call of Duty,35330.6,72446.6
Dedo,United States ,2014,Call of Duty,33237.8,58276.7
Saints,United States ,2014,Call of Duty,34795,104342.5
JKap,United States ,2014,Call of Duty,28500,459367.98
FormaL,United States ,2014,Call of Duty,19172.8,272644.68
Proofy,United States ,2014,Call of Duty,18542.5,93440.37
Denz,Australia,2014,Call of Duty,17732.65,63608.85
Damage,Australia,2014,Call of Duty,17732.65,31822.99
Chilean,Australia,2014,Call of Duty,17732.65,29850.57
Iskatuu,Australia,2014,Call of Duty,17732.65,18744.93
Replays,United States ,2014,Call of Duty,17250,159660.5
Classic,United States ,2014,Call of Duty,16000,134611.5
Parasite,United States ,2014,Call of Duty,11944.95,191524.68
Gunshy,United Kingdom,2014,Call of Duty,10467.33,74795.99
MarkyB,United Kingdom,2014,Call of Duty,10467.33,53914
Moose,United Kingdom,2014,Call of Duty,10467.33,41368.95
Loony,United States ,2014,Call of Duty,10000,104689.02
Whea7s,United States ,2014,Call of Duty,10000,40721.25
Pacman,United States ,2014,Call of Duty,10000,20928.75
FeaRs,United States ,2014,Call of Duty,9500,29950
Joshh,United Kingdom,2014,Call of Duty,7960.67,118696.14
Swanny,United Kingdom,2014,Call of Duty,7821.51,91897.26
Jurd,Ireland ,2014,Call of Duty,7821.51,91703.9
Tommey,United Kingdom,2014,Call of Duty,8026.16,90131.44
Sharp,United States ,2014,Call of Duty,11022.5,54091.38
Killa,United States ,2014,Call of Duty,9120.6,172253.94
MiRx,United States ,2014,Call of Duty,7924.35,142730.47
Ricky,United States ,2014,Call of Duty,8495.6,79494.11
Goonjar,Canada ,2014,Call of Duty,10022.5,45452.18
Demon,Canada ,2014,Call of Duty,6250,6250
iLLSKiLL,Canada ,2014,Call of Duty,6250,6250
Mech,Canada ,2014,Call of Duty,6250,6250
Slumber,Canada ,2014,Call of Duty,6250,6250
Neslo,United States ,2014,Call of Duty,9435,22578.75
MadCat,United Kingdom ,2014,Call of Duty,5314.54,78336.47
ZooMaa,United States ,2014,Call of Duty,4750,107024
Slasher,United States ,2014,Call of Duty,4433.4,315533.4
Theory,United States ,2014,Call of Duty,7925,47815
Slacked,United States ,2014,Call of Duty,4183.4,97272.15
Huhdle,United States ,2014,Call of Duty,4183.4,9120.9
Mochila,United States ,2014,Call of Duty,3945,50153.5
Burnsoff,United States ,2014,Call of Duty,4045,30917.5
SpaceLy,United States ,2014,Call of Duty,3875,37453.75
Chino,United States ,2014,Call of Duty,5250,31967.75
Sender,United States ,2014,Call of Duty,3750,26064.37
Miyagi,United States ,2014,Call of Duty,3750,4236
Enable,United States ,2014,Call of Duty,3195,194588.79
Tipsy,United States ,2014,Call of Duty,4695,4695
Peatie,United Kingdom ,2014,Call of Duty,2755.78,45660.75
ShAnE,United Kingdom ,2014,Call of Duty,1875,47903.33
Gotaga,France,2014,Call of Duty,1896.48,14886.5
Krnage,France,2014,Call of Duty,1896.48,10330.56
Riskin,France,2014,Call of Duty,1691.83,9212.96
Broken,France,2014,Call of Duty,1896.48,6451.1
Attach,United States ,2014,Call of Duty,1625,205642
Vortex,France,2014,Call of Duty,1250,12104.92
Malls,France,2014,Call of Duty,1250,10871.25
ZylewR,France,2014,Call of Duty,1250,5831.88
MysTK,France,2014,Call of Duty,1250,1774.6
Methodz,United States ,2014,Call of Duty,1212.5,9055
Reedy,United Kingdom ,2014,Call of Duty,787.65,27939.78
Revan,United States ,2014,Call of Duty,750,4535.71
PLuTo,United States ,2014,Call of Duty,683.4,4650.07
Rated,United Kingdom ,2014,Call of Duty,650.53,90864.12
Robz,United Kingdom ,2014,Call of Duty,650.53,1278.45
Endura,United Kingdom ,2014,Call of Duty,650.53,650.53
BenjiiiiK,France,2014,Call of Duty,518.06,518.06
HeeziAAA,France,2014,Call of Duty,518.06,518.06
MiSaA,France,2014,Call of Duty,518.06,518.06
Starz,France,2014,Call of Duty,518.06,518.06
Flux,United Kingdom ,2014,Call of Duty,913.04,8069.58
Blfire,United States ,2014,Call of Duty,500,23836.25
Joee,United Kingdom ,2014,Call of Duty,411.35,97511.02
Joocybrah,United Kingdom ,2014,Call of Duty,411.35,488.83
DEVR,United Kingdom ,2014,Call of Duty,411.35,411.35
Reece,United Kingdom ,2014,Call of Duty,411.35,411.35
John,United States ,2014,Call of Duty,485,274441.26
PHiZZURP,United States ,2014,Call of Duty,735,19553.22
Realize,United States ,2014,Call of Duty,625,11257.5
Wolf,United States ,2014,Call of Duty,475,850.26
Demented,United States ,2014,Call of Duty,375,675
Intake,United States ,2014,Call of Duty,375,375
Shock,United States ,2014,Call of Duty,375,375
BuZZO,Australia ,2014,Call of Duty,372.24,50813.2
Fighta,Australia ,2014,Call of Duty,372.24,50638.62
Shockz,Australia ,2014,Call of Duty,372.24,50395.36
Naked,Australia ,2014,Call of Duty,372.24,2654.53
Attach,United States ,2015,Call of Duty,145954.5,205642
Clayster,United States ,2015,Call of Duty,144195.75,287523.25
JKap,United States ,2015,Call of Duty,121701.25,459367.98
Replays,United States ,2015,Call of Duty,121535.5,159660.5
Crimsix,United States ,2015,Call of Duty,103207.5,404601.14
FormaL,United States ,2015,Call of Duty,102732.5,272644.68
Scump,United States ,2015,Call of Duty,102847.5,306293.68
Enable,United States ,2015,Call of Duty,85497,194588.79
Slasher,United States ,2015,Call of Duty,69767.5,315533.4
Karma,Canada ,2015,Call of Duty,63787,421347.25
Nagafen,United States ,2015,Call of Duty,62738.5,121951
Remy,United States ,2015,Call of Duty,61423.5,77723.5
Aqua,United States ,2015,Call of Duty,59700,131897.5
Classic,United States ,2015,Call of Duty,57431.5,134611.5
Faccento,United States ,2015,Call of Duty,55131.33,126078.83
Parasite,United States ,2015,Call of Duty,47363.38,191524.68
ZooMaa,United States ,2015,Call of Duty,45836.5,107024
Aches,United States ,2015,Call of Duty,39645,265931.76
Ricky,United States ,2015,Call of Duty,38124.75,79494.11
Mboze,United States ,2015,Call of Duty,35566,72446.6
Huke,United States ,2015,Call of Duty,35632.25,195007.25
Mochila,United States ,2015,Call of Duty,37033.5,50153.5
TJHaly,United States ,2015,Call of Duty,29305.25,29305.25
Temp,United States ,2015,Call of Duty,27790.75,27790.75
Saints,United States ,2015,Call of Duty,28285,104342.5
Slacked,United States ,2015,Call of Duty,26456.25,97272.15
NaDeSHoT,United States ,2015,Call of Duty,30553.75,206096.25
Loony,United States ,2015,Call of Duty,24244.02,104689.02
Whea7s,United States ,2015,Call of Duty,22971.25,40721.25
Burnsoff,United States ,2015,Call of Duty,21810,30917.5
Goonjar,Canada,2015,Call of Duty,20365.13,45452.18
Anticity,United States ,2015,Call of Duty,18605.25,18605.25
Blfire,United States ,2015,Call of Duty,18011.25,23836.25
Denz,Australia ,2015,Call of Duty,15576.69,63608.85
BuZZO,Australia ,2015,Call of Duty,15576.69,50813.2
Fighta,Australia ,2015,Call of Duty,15576.69,50638.62
Shockz,Australia ,2015,Call of Duty,15576.69,50395.36
Octane,United States ,2015,Call of Duty,15568.75,76748.75
Sharp,United States ,2015,Call of Duty,16041.38,54091.38
Theory,United States ,2015,Call of Duty,14812.5,47815
MadCat,United Kingdom ,2015,Call of Duty,13643.88,78336.47
Tommey,United Kingdom ,2015,Call of Duty,12209.57,90131.44
Jurd,Ireland,2015,Call of Duty,11278.68,91703.9
Swanny,United Kingdom ,2015,Call of Duty,10229.45,91897.26
Joshh,United Kingdom ,2015,Call of Duty,10792.83,118696.14
Joee,United Kingdom ,2015,Call of Duty,9574.67,97511.02
Peatie,United Kingdom ,2015,Call of Duty,10142.42,45660.75
Nameless,United States ,2015,Call of Duty,10618.1,109763.41
MiRx,United States ,2015,Call of Duty,8779.75,142730.47
Reedy,United Kingdom ,2015,Call of Duty,8472.1,27939.78
Teepee,United States ,2015,Call of Duty,8495.27,209462.03
Watson,United Kingdom ,2015,Call of Duty,8027.58,12404.45
Chino,United States ,2015,Call of Duty,9467.75,31967.75
MarkyB,United Kingdom ,2015,Call of Duty,7648.77,53914
Royalty,Canada,2015,Call of Duty,7046,16726.6
Apathy,United States ,2015,Call of Duty,9952.5,289572.5
Dedo,United States ,2015,Call of Duty,7621.42,58276.7
JGeneral,United States ,2015,Call of Duty,6670,7670
Proofy,United States ,2015,Call of Duty,6936.52,93440.37
Moose,United Kingdom ,2015,Call of Duty,7606.3,41368.95
MRuuiz,United States ,2015,Call of Duty,6447.5,7447.5
Havok,United States ,2015,Call of Duty,6430.17,18742.67
ExiB,United States ,2015,Call of Duty,6388.75,6388.75
Llama,United States ,2015,Call of Duty,6255,16067.5
Kade,United States ,2015,Call of Duty,6201.25,7451.25
Gotaga,France ,2015,Call of Duty,6338.19,14886.5
SiLLY,United States ,2015,Call of Duty,5876.42,40501.42
Neslo,United States ,2015,Call of Duty,6066.25,22578.75
Rated,United Kingdom ,2015,Call of Duty,5313.59,90864.12
Urban,United Kingdom ,2015,Call of Duty,5228.42,37120.85
SpaceLy,United States ,2015,Call of Duty,4503.75,37453.75
Sender,United States ,2015,Call of Duty,5064.37,26064.37
Diabolic,United States ,2015,Call of Duty,4479.79,21729.79
Accuracy,United States ,2015,Call of Duty,4615.5,12428
Happy,United States ,2015,Call of Duty,4610.5,17798
LXT,United Kingdom ,2015,Call of Duty,3445.77,3856.33
Assauhlt,United States ,2015,Call of Duty,3202.76,34077.76
QwiKeR,United Kingdom ,2015,Call of Duty,3166.49,24185.48
MerK,United States ,2015,Call of Duty,4888.55,238496.55
Envoy,United States ,2015,Call of Duty,2945,2945
TcM,United States ,2015,Call of Duty,2815,6787.5
Kenny,United States ,2015,Call of Duty,2750,2750
Studyy,United States ,2015,Call of Duty,2950,84298.7
ShAnE,United Kingdom ,2015,Call of Duty,3490.64,47903.33
HaLLy,United Kingdom ,2015,Call of Duty,2426.87,2705.17
Killa,United States ,2015,Call of Duty,2797.5,172253.94
Vortex,France ,2015,Call of Duty,2344.65,12104.92
Denz,Belgium ,2015,Call of Duty,2567.25,7290.76
Duel,Belgium ,2015,Call of Duty,2548.32,2993.53
Ivy,Canada ,2015,Call of Duty,2286.04,7481.78
DeaN,Belgium ,2015,Call of Duty,2509.66,2954.87
Censor,United States ,2015,Call of Duty,5349.5,53987.3
Zer0,United Kingdom ,2015,Call of Duty,2053.8,38046.23
Nathan,United Kingdom ,2015,Call of Duty,2060.57,2060.57
Carbon,France ,2015,Call of Duty,2053.14,3002.47
SunnyB,United Kingdom ,2015,Call of Duty,1896.04,19113.07
Desire,United Kingdom ,2015,Call of Duty,1845.9,35426.74
Damage,Australia ,2015,Call of Duty,1823.24,31822.99
Krnage,France ,2015,Call of Duty,2681.99,10330.56
Melo,France ,2015,Call of Duty,2681.86,3139.82
John,United States ,2016,Call of Duty,232707.5,274441.26
JKap,United States ,2016,Call of Duty,231332.5,459367.98
Slasher,United States ,2016,Call of Duty,231332.5,315533.4
Apathy,United States ,2016,Call of Duty,228332.5,289572.5
Joshh,United Kingdom ,2016,Call of Duty,83812.5,118696.14
Bance,United Kingdom ,2016,Call of Duty,83812.5,96154.94
Joee,United Kingdom ,2016,Call of Duty,81500,97511.02
Rated,United Kingdom ,2016,Call of Duty,81500,90864.12
Karma,Canada,2016,Call of Duty,73539.38,421347.25
Crimsix,United States ,2016,Call of Duty,73539.38,404601.14
Scump,United States ,2016,Call of Duty,73539.38,306293.68
FormaL,United States ,2016,Call of Duty,73539.38,272644.68
Aqua,United States ,2016,Call of Duty,58197.5,131897.5
Nagafen,United States ,2016,Call of Duty,57212.5,121951
Faccento,United States ,2016,Call of Duty,56947.5,126078.83
Loony,United States ,2016,Call of Duty,56445,104689.02
FeLonY,United States ,2016,Call of Duty,50337.5,65133.75
Slacked,United States ,2016,Call of Duty,55195,97272.15
Classic,United States ,2016,Call of Duty,54930,134611.5
Octane,United States ,2016,Call of Duty,54930,76748.75
Hawqehh,United Kingdom ,2016,Call of Duty,40875,48938.97
Vortex,United Kingdom ,2016,Call of Duty,40537.23,48256.57
Jurd,Ireland,2016,Call of Duty,40723.81,91703.9
Tommey,United Kingdom ,2016,Call of Duty,40723.81,90131.44
MadCat,United Kingdom ,2016,Call of Duty,40723.81,78336.47
Attach,United States ,2016,Call of Duty,34312.5,205642
Clayster,United States ,2016,Call of Duty,33687.5,287523.25
ZooMaa,United States ,2016,Call of Duty,33687.5,107024
Swanny,United Kingdom ,2016,Call of Duty,33223.81,91897.26
Enable,United States ,2016,Call of Duty,33062.5,194588.79
Dqvee,United Kingdom ,2016,Call of Duty,31474.73,39558.1
Desire,United Kingdom ,2016,Call of Duty,31474.73,35426.74
Denz,Australia ,2016,Call of Duty,28882.88,63608.85
BuZZO,Australia ,2016,Call of Duty,28882.88,50813.2
Fighta,Australia ,2016,Call of Duty,28882.88,50638.62
Shockz,Australia ,2016,Call of Duty,28882.88,50395.36
Lacefield,United States ,2016,Call of Duty,27625,34598.5
MarkyB,United Kingdom ,2016,Call of Duty,25830.16,53914
Peatie,United Kingdom ,2016,Call of Duty,25830.16,45660.75
Zer0,United Kingdom ,2016,Call of Duty,25867.43,38046.23
Urban,United Kingdom ,2016,Call of Duty,25867.43,37120.85
Aches,United States ,2016,Call of Duty,26062.5,265931.76
Assauhlt,United States ,2016,Call of Duty,24625,34077.76
Saints,United States ,2016,Call of Duty,23937.5,104342.5
SpaceLy,United States ,2016,Call of Duty,24937.5,37453.75
Ricky,United States ,2016,Call of Duty,23625,79494.11
Studyy,United States ,2016,Call of Duty,20562.5,84298.7
Nameless,United States ,2016,Call of Duty,21125,109763.41
Nolson,United Kingdom ,2016,Call of Duty,19893.99,27226.58
QwiKeR,United Kingdom ,2016,Call of Duty,19893.99,24185.48
Braaain,United Kingdom ,2016,Call of Duty,19893.99,21482.33
Nimble,Australia ,2016,Call of Duty,19066.44,20950.66
Swiftazor,New Zealand ,2016,Call of Duty,19066.44,20195.88
Zeuss,New Zealand ,2016,Call of Duty,18941.44,21357.43
Bacabec,New Zealand ,2016,Call of Duty,18941.44,20780.99
Chino,United States ,2016,Call of Duty,17250,31967.75
Sender,United States ,2016,Call of Duty,17250,26064.37
Diabolic,United States ,2016,Call of Duty,17250,21729.79
Moose,United Kingdom ,2016,Call of Duty,17180.03,41368.95
Reedy,United Kingdom ,2016,Call of Duty,17180.03,27939.78
Killa,United States ,2016,Call of Duty,16375,172253.94
ColeChan,United States ,2016,Call of Duty,15250,15550
Excite,Australia ,2016,Call of Duty,14220.72,20296.48
Killerpie,New Zealand ,2016,Call of Duty,14220.72,15715.15
Eminence,New Zealand ,2016,Call of Duty,14132.88,15287.04
SunnyB,United Kingdom ,2016,Call of Duty,14192.03,19113.07
Remy,United States ,2016,Call of Duty,14300,77723.5
Happy,United States ,2016,Call of Duty,13187.5,17798
MiRx,United States ,2016,Call of Duty,13125,142730.47
Macka,Australia ,2016,Call of Duty,12105.25,14501.52
Hopey,Australia ,2016,Call of Duty,12105.25,14365.37
Rival,Australia ,2016,Call of Duty,12105.25,14025.12
Dean,Australia ,2016,Call of Duty,12105.25,13819.5
Goonjar,Canada ,2016,Call of Duty,12008.24,45452.18
Guydra,New Zealand ,2016,Call of Duty,10883.22,11759.35
Azzi,Australia ,2016,Call of Duty,10595.72,12108.76
Damage,Australia ,2016,Call of Duty,10382.88,31822.99
Chilean,Australia ,2016,Call of Duty,10382.88,29850.57
Havok,United States ,2016,Call of Duty,10312.5,18742.67
Fate,Australia ,2016,Call of Duty,10195.38,13068.42
Theory,United States ,2016,Call of Duty,10812.5,47815
Llama,United States ,2016,Call of Duty,9812.5,16067.5
Parasite,United States ,2016,Call of Duty,10625,191524.68
FeaRs,United States ,2016,Call of Duty,9625,29950
PHiZZURP,United States ,2016,Call of Duty,9625,19553.22
Legal,United States ,2016,Call of Duty,9625,12983.5
Zayrox,France ,2016,Call of Duty,10235.76,11358.46
Replays,United States ,2016,Call of Duty,10062.5,159660.5
Vortex,France ,2016,Call of Duty,8312.5,12104.92
ShAnE,United Kingdom ,2016,Call of Duty,8187.5,47903.33
Niall,United Kingdom ,2016,Call of Duty,8263.15,12240.26
Maxxie,France ,2016,Call of Duty,7937.5,21353.03
Malls,France ,2016,Call of Duty,7937.5,10871.25
Accuracy,United States ,2016,Call of Duty,7812.5,12428
Whea7s,United States ,2016,Call of Duty,7750,40721.25
Pacman,United States ,2016,Call of Duty,7750,20928.75
Swarley,Canada,2016,Call of Duty,7625,7932.76
Zed,United Kingdom ,2016,Call of Duty,7500,7500
Teepee,United States ,2016,Call of Duty,8062.5,209462.03
Wailers,France ,2016,Call of Duty,6687.5,6785.34
Faker,Korea,2013,League of Legends,912406.26,912406.26
PoohManDu,Korea,2013,League of Legends,256771.39,256771.39
Bengi,Korea,2013,League of Legends,810683,810683
Piglet,Korea,2013,League of Legends,264929.15,264929.15
Impact,Korea,2013,League of Legends,313021.84,313021.84
Uzi,China,2013,League of Legends,240632.74,240632.74
GodLike,China,2013,League of Legends,82589.17,82589.17
Lucky,China,2013,League of Legends,71719.24,71719.24
Gogoing,China,2013,League of Legends,113570.08,113570.08
LoveLing,China,2013,League of Legends,110071.9,110071.9
Cool,China,2013,League of Legends,109844.36,109844.36
Wh1t3zZ,Hong Kong ,2013,League of Legends,64306.76,64306.76
Tabe,Hong Kong ,2013,League of Legends,63327.14,63327.14
san,China,2013,League of Legends,108594.22,108594.22
sOAZ,France,2013,League of Legends,171155.38,171155.38
YellOwStaR,France,2013,League of Legends,167221.97,167608.11
xPeke,Spain ,2013,League of Legends,166127.4,166127.4
Cyanide,Finland ,2013,League of Legends,115902.1,115902.1
watch,Korea,2013,League of Legends,100012.32,111458.7
Cain,Korea,2013,League of Legends,78010.14,78010.14
PraY,Korea,2013,League of Legends,254965.94,254965.94
bigpomelo,China,2013,League of Legends,56682.07,56682.07
dade,Korea,2013,League of Legends,118986.53,118986.53
puszu,Estonia,2013,League of Legends,40254.31,40254.31
Expession,Korea,2013,League of Legends,46568.9,46568.9
Ich,Russia,2013,League of Legends,117224.97,117224.97
Diamondprox,Russia,2013,League of Legends,104424.75,104424.75
Darien,Russia,2013,League of Legends,100993.17,100993.17
Genja,Russia,2013,League of Legends,100935.83,100935.83
Hai,United States ,2013,League of Legends,98430,98430
LemonNation,United States ,2013,League of Legends,97590,97590
Balls,United States ,2013,League of Legends,98863.33,98863.33
Meteos,United States ,2013,League of Legends,126176.67,126176.67
imp,Korea,2013,League of Legends,297719.56,297719.56
DanDy,Korea,2013,League of Legends,279750.19,279750.19
Flame,Korea,2013,League of Legends,79362.85,79362.85
Mata,Korea,2013,League of Legends,382369.54,382369.54
Ambition,Korea,2013,League of Legends,220797.62,220797.62
ClearLove,China,2013,League of Legends,356843.25,356843.25
Fzzf,China,2013,League of Legends,157148.86,157148.86
WeiXiao,China,2013,League of Legends,105500.65,105500.65
CaoMei,China,2013,League of Legends,96673.77,97845.29
Misaya,China,2013,League of Legends,92628.5,92628.5
Lustboy,Korea,2013,League of Legends,130020.33,130020.33
Sneaky,United States ,2013,League of Legends,136640,136640
NaMei,China,2013,League of Legends,141938.87,141938.87
Sicca,China,2013,League of Legends,32361.44,32361.44
Nagne,Korea,2013,League of Legends,59847.63,59847.63
MaKNooN,Korea,2013,League of Legends,50217.61,50217.61
WildTurtle,Canada ,2013,League of Legends,132082.8,132082.8
Aluka,China,2013,League of Legends,57560.65,57560.65
JoJo,Hong Kong ,2013,League of Legends,30268.71,30268.71
Jing,China,2013,League of Legends,26508.94,26508.94
Zzitai,China,2013,League of Legends,114371.08,114371.08
kid,China,2013,League of Legends,111239.74,111239.74
illuSioN,China,2013,League of Legends,75014.14,75014.14
PDD,China,2013,League of Legends,70817.51,70817.51
Helios,Korea,2013,League of Legends,54235.35,54235.35
CaptainJack,Korea,2013,League of Legends,59459.58,59459.58
Homme,Korea,2013,League of Legends,31525.48,31525.48
Dyrus,United States ,2013,League of Legends,148642.78,148642.78
Xpecial,United States ,2013,League of Legends,95751.21,95751.21
TheOddOne,Canada ,2013,League of Legends,80522.95,80522.95
Shy,Korea,2013,League of Legends,101704.12,101704.12
Unlimited,Bulgaria ,2013,League of Legends,25099.19,25099.19
YoungBuck,Netherlands ,2013,League of Legends,24282.67,24282.67
SSONG,Korea,2013,League of Legends,41386.24,41386.24
cowTard,Sweden,2013,League of Legends,21532.37,21532.37
Reginald,United States ,2013,League of Legends,80280.1,80280.1
MadLife,Korea,2013,League of Legends,106055.46,106055.46
XiaoXiao,China,2013,League of Legends,46210.92,46210.92
Winds,Taiwan,2013,League of Legends,52939.79,52939.79
RapidStar,Korea,2013,League of Legends,80663.7,80663.7
CloudTemplar,Korea,2013,League of Legends,79433,79433
Nukeduck,Norway ,2013,League of Legends,26020.34,26020.34
Zorozero,Denmark ,2013,League of Legends,25135.85,25135.85
SwordArt,Taiwan,2013,League of Legends,120925.25,120925.25
Maple,Taiwan,2013,League of Legends,117458.21,117458.21
NL,Taiwan,2013,League of Legends,94664.75,94664.75
Steak,Taiwan,2013,League of Legends,54770.5,54770.5
Voidle,Estonia ,2013,League of Legends,42133.12,42133.12
Tabzz,Netherlands ,2013,League of Legends,46008.01,46008.01
Score,Korea,2013,League of Legends,93165.14,93165.14
Pepper,Armenia,2013,League of Legends,92928.16,92928.16
